"YEAR","WEEK","CASES_NEW","CASES_MAT","CASES_ENC","CASES_WNC","CASES_SAT","CASES_ESC","CASES_WSC","CASES_MTN","CASES_PAC","timeIndex"
2004,1,3086,2330,3083,1966,3149,3831,2515,1016,3375,365
2004,2,1851,1735,2333,1275,2464,2409,2221,951,2054,366
2004,3,1420,1328,2195,1342,2385,2130,1895,1195,1933,367
2004,4,835,1189,1935,1044,2102,3103,1777,1002,1528,368
2004,5,647,1056,1882,863,1598,3304,1240,1098,1530,369
2004,6,558,1288,1639,887,1388,3238,1284,924,1417,370
2004,7,533,1256,1405,819,1622,2931,1019,990,1155,371
2004,8,424,959,1347,719,1398,2063,717,678,1018,372
2004,9,341,838,1261,708,1288,2323,1008,713,865,373
2004,10,373,1009,1356,814,1641,2064,610,623,1102,374
2004,11,355,1018,1254,474,1363,2394,647,677,1195,375
2004,12,336,907,1338,578,1032,2541,415,616,744,376
2004,13,320,1105,928,309,870,2314,348,511,694,377
2004,14,189,900,1015,371,776,2421,376,607,637,378
2004,15,215,763,1110,400,1008,2156,341,586,694,379
2004,16,241,814,1000,224,881,2339,387,499,580,380
2004,17,164,771,830,313,709,2165,448,378,455,381
2004,18,156,695,973,601,768,2299,714,460,410,382
2004,19,221,714,932,424,847,2408,400,544,460,383
2004,20,265,946,1048,405,843,2279,597,510,452,384
2004,21,121,714,1177,754,1088,1927,314,278,565,385
2004,22,126,685,1344,834,626,2397,566,416,1236,386
2004,23,105,762,1049,1555,517,1672,777,193,1179,387
2004,24,71,559,1144,487,581,1551,631,273,977,388
2004,25,97,442,1083,806,928,1597,428,233,522,389
2004,26,77,153,1060,772,423,1627,392,203,422,390
2004,27,81,356,1135,616,443,1643,1564,759,661,391
2004,28,75,592,997,658,860,1687,833,738,460,392
2004,29,38,494,915,569,218,1856,1332,768,369,393
2004,30,54,549,993,742,338,2173,1203,731,255,394
2004,31,82,390,401,872,751,1861,657,643,542,395
2004,32,118,544,983,835,989,1910,569,757,168,396
2004,33,236,363,947,792,460,2252,1556,647,190,397
2004,34,121,352,1297,687,452,2352,1162,940,533,398
2004,35,120,373,1064,638,1069,2470,1102,1005,596,399
2004,36,169,533,1119,1032,532,2689,1024,408,606,400
2004,37,153,580,1120,1028,1048,2520,1119,410,1162,401
2004,38,136,760,1161,1030,752,2658,1305,461,653,402
2004,39,172,550,1101,1110,1222,2751,526,454,1051,403
2004,40,345,1347,1056,765,793,1791,1250,505,844,404
2004,41,496,1267,1130,792,1092,2210,1067,598,732,405
2004,42,408,1189,1086,851,1102,2301,1858,570,889,406
2004,43,438,1424,1256,787,1351,1865,1115,707,1611,407
2004,44,507,1433,1363,897,1309,1961,1341,900,1434,408
2004,45,746,1413,1394,986,1256,2444,1390,1016,1571,409
2004,46,520,1757,1401,946,1066,2665,1431,970,1670,410
2004,47,669,1798,1743,1148,1662,2932,1680,1163,2139,411
2004,48,822,1620,1397,879,1605,2557,2131,781,1657,412
2004,49,951,2120,1469,962,1588,2604,1675,806,1907,413
2004,50,1031,2439,1449,1165,1790,3060,1652,952,2099,414
2004,51,1954,3826,1871,1763,2048,3590,2690,1331,2750,415
2004,52,2838,3661,2522,1703,2493,3819,2173,1632,4014,416
2005,1,2567,3281,2333,2057,1843,2774,2213,1407,2893,417
2005,2,2246,3247,2382,2463,1602,2567,2437,1552,3768,418
2005,3,2358,3094,2957,3289,1905,3249,3155,1588,3956,419
2005,4,2250,3372,3674,3784,2783,4008,4410,1821,4252,420
2005,5,2252,3667,4981,4815,3736,5966,8441,2102,4651,421
2005,6,2457,4034,5709,5333,4471,7203,8262,2477,4945,422
2005,7,1935,3948,5892,4695,5030,7943,8288,2717,5069,423
2005,8,1628,3772,5228,3547,3914,7975,6717,2517,4630,424
2005,9,1373,3094,4341,2943,3319,7409,4591,2047,3546,425
2005,10,1194,2992,3645,2284,3372,6846,4154,1907,3346,426
2005,11,1107,2579,3140,2215,3084,4911,3295,1675,2787,427
2005,12,833,2554,2586,1976,2530,4914,2242,1603,2904,428
2005,13,883,1865,2215,1542,1961,3526,2014,1229,2725,429
2005,14,707,1327,1500,1275,1486,2915,1655,1178,2431,430
2005,15,522,1186,1398,1068,1455,2893,1600,1035,2879,431
2005,16,486,1109,1291,952,1539,2644,1859,837,1509,432
2005,17,470,1011,1029,874,1290,3088,1646,857,1995,433
2005,18,442,962,971,908,1249,3023,1322,605,1999,434
2005,19,188,1034,1059,861,1349,3012,1643,741,2061,435
2005,20,193,863,950,1011,1178,3031,1297,553,2426,436
2005,21,265,501,1051,951,1198,2867,1690,530,2215,437
2005,22,164,698,1337,1362,1265,3772,1898,769,1914,438
2005,23,232,789,763,1290,1329,2784,1657,577,1977,439
2005,24,180,563,1037,1116,1218,2698,1405,550,2119,440
2005,25,190,574,1105,820,1057,2897,1233,567,1609,441
2005,26,181,533,1012,242,1157,2615,1176,395,1621,442
2005,27,177,264,1155,252,1031,2952,969,410,1367,443
