PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS 
REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 25-64,AGE 25-49,AGE 50-64,AGE 65
Census Regions,New England,1997,40,44,7053,32,0.49853478965969,0.623848007939884,15,22,7,X,X,0
Census Regions,Mid-Atlantic,1997,40,28,2119,13,0.844144088561876,1.32137800849457,4,12,8,X,X,4
Census Regions,East North Central,1997,40,79,9649,47,0.792485702377319,0.818737693025184,28,28,20,X,X,3
Census Regions,West North Central,1997,40,37,2892,17,1.76405135964235,1.27939142461964,3,20,8,X,X,6
Census Regions,South Atlantic,1997,40,50,6912,30,0.502662153255607,0.72337962962963,14,14,22,X,X,0
Census Regions,East South Central,1997,40,3,4356,9,0.0542283389310383,0.068870523415978,0,0,3,X,X,0
Census Regions,West South Central,1997,40,5,669,4,1.01898390565067,0.747384155455904,2,2,1,X,X,0
Census Regions,Mountain,1997,40,244,10719,16,2.258781650835,2.27633174736449,87,71,71,X,X,15
Census Regions,Pacific,1997,40,80,2473,24,2.04883000527084,3.23493732308937,26,36,17,X,X,1
Census Regions,New England,1997,41,57,6987,29,0.642668742348221,0.81580077286389,14,29,14,X,X,0
Census Regions,Mid-Atlantic,1997,41,27,2384,13,0.736319136655627,1.13255033557047,4,8,13,X,X,2
Census Regions,East North Central,1997,41,100,9427,46,1.00503021245464,1.06078285774902,36,39,23,X,X,2
Census Regions,West North Central,1997,41,23,2823,17,0.911801487700596,0.814736096351399,0,18,1,X,X,4
Census Regions,South Atlantic,1997,41,60,7591,32,1.60632117562331,0.790409695692267,21,22,14,X,X,3
Census Regions,East South Central,1997,41,1,4947,10,0.0152991483891743,0.0202142712755205,0,0,1,X,X,0
Census Regions,West South Central,1997,41,6,684,4,1.44931924660515,0.87719298245614,2,2,2,X,X,0
Census Regions,Mountain,1997,41,255,10360,17,1.50617415489979,2.46138996138996,93,80,72,X,X,10
Census Regions,Pacific,1997,41,86,2820,23,1.64653742003329,3.04964539007092,29,44,11,X,X,2
Census Regions,New England,1997,42,85,6934,40,2.89907954150275,1.22584366887799,35,35,15,X,X,0
Census Regions,Mid-Atlantic,1997,42,33,1661,12,1.36287219543224,1.98675496688742,3,16,11,X,X,3
Census Regions,East North Central,1997,42,178,17258,62,0.736742598978036,1.03140572488121,65,74,27,X,X,12
Census Regions,West North Central,1997,42,21,2355,16,1.26522492254325,0.89171974522293,1,9,5,X,X,6
Census Regions,South Atlantic,1997,42,66,7954,33,1.18446880393097,0.829771184309781,19,24,21,X,X,2
Census Regions,East South Central,1997,42,2,4824,10,0.0532082604748865,0.0414593698175788,0,2,0,X,X,0
Census Regions,West South Central,1997,42,6,667,4,1.46229822493296,0.899550224887556,2,2,2,X,X,0
Census Regions,Mountain,1997,42,218,10065,18,1.59267511734535,2.16592151018381,84,70,55,X,X,9
Census Regions,Pacific,1997,42,72,3243,24,1.95985204284862,2.22016651248844,19,34,17,X,X,2
Census Regions,New England,1997,43,125,7708,44,4.8124983288047,1.62169174883238,41,59,25,X,X,0
Census Regions,Mid-Atlantic,1997,43,24,1220,10,1.15850511324341,1.9672131147541,7,6,10,X,X,1
Census Regions,East North Central,1997,43,217,21966,64,0.623368745610595,0.987890376035692,73,65,65,X,X,14
Census Regions,West North Central,1997,43,21,2839,17,1.15852861024624,0.739697076435365,2,8,8,X,X,3
Census Regions,South Atlantic,1997,43,24,7172,28,0.684921741880806,0.334634690462911,6,13,5,X,X,0
Census Regions,East South Central,1997,43,2,3968,8,0.0410431128683079,0.0504032258064516,0,0,1,X,X,1
Census Regions,West South Central,1997,43,7,661,4,1.64701697284716,1.0590015128593,2,2,2,X,X,1
Census Regions,Mountain,1997,43,204,8811,19,1.62789960430239,2.31528770854614,49,74,66,X,X,15
Census Regions,Pacific,1997,43,29,2699,19,0.993006419444391,1.07447202667655,8,9,11,X,X,1
Census Regions,New England,1997,44,73,9357,44,1.37135796521994,0.780164582665384,22,34,14,X,X,3
Census Regions,Mid-Atlantic,1997,44,14,1242,9,2.57636777940928,1.12721417069243,2,5,5,X,X,2
Census Regions,East North Central,1997,44,268,19936,63,1.01671246251584,1.34430176565008,71,131,52,X,X,14
Census Regions,West North Central,1997,44,19,2929,17,0.863943380087598,0.648685558210994,5,7,1,X,X,6
Census Regions,South Atlantic,1997,44,64,6623,28,1.51044092781701,0.96632945794957,12,30,16,X,X,6
Census Regions,East South Central,1997,44,1,3781,8,0.0219529369090464,0.0264480296217932,0,1,0,X,X,0
Census Regions,West South Central,1997,44,11,649,4,2.46072441100242,1.69491525423729,4,2,3,X,X,2
Census Regions,Mountain,1997,44,200,8185,20,1.35955989002796,2.44349419670128,86,50,58,X,X,6
Census Regions,Pacific,1997,44,50,2804,20,2.0024377546509,1.78316690442225,15,20,13,X,X,2
Census Regions,New England,1997,45,74,8868,46,0.928765508111114,0.83446098331078,20,32,21,X,X,1
Census Regions,Mid-Atlantic,1997,45,21,1406,10,3.10044047276978,1.49359886201991,6,7,4,X,X,4
Census Regions,East North Central,1997,45,272,17998,57,0.95356345749161,1.51127903100344,53,136,64,X,X,19
Census Regions,West North Central,1997,45,19,2430,14,1.19375707397796,0.781893004115226,1,7,8,X,X,3
Census Regions,South Atlantic,1997,45,45,5819,29,1.0031669545578,0.773328750644441,8,20,14,X,X,3
Census Regions,East South Central,1997,45,1,2760,6,0.028556925692942,0.036231884057971,0,0,0,X,X,1
Census Regions,West South Central,1997,45,11,572,3,2.68890666610676,1.92307692307692,4,3,3,X,X,1
Census Regions,Mountain,1997,45,178,9592,15,0.668112677824684,1.8557130942452,71,63,29,X,X,15
Census Regions,Pacific,1997,45,34,1617,15,0.728915268045955,2.10265924551639,15,13,5,X,X,1
Census Regions,New England,1997,46,56,9219,42,0.633390609423107,0.607441154138193,10,24,21,X,X,1
Census Regions,Mid-Atlantic,1997,46,54,2087,13,3.42235986904703,2.58744609487302,8,20,19,X,X,7
Census Regions,East North Central,1997,46,288,21992,75,1.24281607115007,1.30956711531466,80,96,89,X,X,23
Census Regions,West North Central,1997,46,45,4306,20,1.42668685326603,1.04505341384115,4,24,11,X,X,6
Census Regions,South Atlantic,1997,46,75,8028,38,1.22412556188762,0.93423019431988,18,35,16,X,X,6
Census Regions,East South Central,1997,46,0,3120,8,0,0,0,0,0,X,X,0
Census Regions,West South Central,1997,46,14,661,4,2.95599652419064,2.11800302571861,4,4,4,X,X,2
Census Regions,Mountain,1997,46,306,12317,26,1.98443456652884,2.48437119428432,135,84,66,X,X,21
Census Regions,Pacific,1997,46,94,2733,22,2.73780006320421,3.43944383461398,35,41,14,X,X,4
Census Regions,New England,1997,47,66,9329,44,0.812671047275722,0.707471325972773,12,29,24,X,X,1
Census Regions,Mid-Atlantic,1997,47,62,2127,13,6.07875784667627,2.91490362012224,10,17,24,X,X,11
Census Regions,East North Central,1997,47,384,23654,78,1.27316554851251,1.62340407542065,69,214,78,X,X,23
Census Regions,West North Central,1997,47,43,3823,22,1.32937544210131,1.12477112215538,10,18,13,X,X,2
Census Regions,South Atlantic,1997,47,74,6837,37,1.34756000903314,1.08234605821267,29,26,16,X,X,3
Census Regions,East South Central,1997,47,6,3795,8,0.134169811215396,0.158102766798419,0,3,3,X,X,0
Census Regions,West South Central,1997,47,17,651,4,3.41822242808503,2.61136712749616,4,3,8,X,X,2
Census Regions,Mountain,1997,47,388,13502,26,2.73084226569913,2.87364834839283,144,114,110,X,X,20
