REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,H3N2v
Census Regions,New England,1997,40,51,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,1997,40,155,0,0,0,0,0,0,0,0
Census Regions,East North Central,1997,40,127,0,0,0,0,0,0,0,0
Census Regions,West North Central,1997,40,183,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,1997,40,204,0,0,0,0,0,0,0,0
Census Regions,East South Central,1997,40,34,0,0,0,0,0,0,0,0
Census Regions,West South Central,1997,40,339,0,0,0,0,0,0,0,0
Census Regions,Mountain,1997,40,85,0,0,0,0,0,0,0,0
Census Regions,Pacific,1997,40,113,0,0,0,0,0,0,0,0
Census Regions,New England,1997,41,54,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,1997,41,181,0,0,0,0,0,0,0,0
Census Regions,East North Central,1997,41,164,0,0,0,0,0,0,0,0
Census Regions,West North Central,1997,41,208,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,1997,41,237,0,0,0,0,0,0,0,0
Census Regions,East South Central,1997,41,31,0,0,0,0,0,0,0,0
Census Regions,West South Central,1997,41,407,0,0,0,0,0,0,0,0
Census Regions,Mountain,1997,41,86,0,0,0,0,0,0,0,0
Census Regions,Pacific,1997,41,145,7.58620689655172,0,0,0,0,11,0,0
Census Regions,New England,1997,42,43,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,1997,42,174,0,0,0,0,0,0,0,0
Census Regions,East North Central,1997,42,174,0,0,0,0,0,0,0,0
Census Regions,West North Central,1997,42,217,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,1997,42,207,1.44927536231884,0,0,0,0,2,1,0
Census Regions,East South Central,1997,42,46,0,0,0,0,0,0,0,0
Census Regions,West South Central,1997,42,406,0.246305418719212,0,0,0,0,1,0,0
Census Regions,Mountain,1997,42,95,1.05263157894737,0,0,1,0,0,0,0
Census Regions,Pacific,1997,42,190,6.31578947368421,0,0,2,0,10,0,0
Census Regions,New England,1997,43,56,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,1997,43,219,0,0,0,0,0,0,0,0
Census Regions,East North Central,1997,43,183,0,0,0,0,0,0,0,0
Census Regions,West North Central,1997,43,213,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,1997,43,249,0,0,0,0,0,0,0,0
Census Regions,East South Central,1997,43,64,0,0,0,0,0,0,0,0
Census Regions,West South Central,1997,43,435,0,0,0,0,0,0,0,0
Census Regions,Mountain,1997,43,89,0,0,0,0,0,0,0,0
Census Regions,Pacific,1997,43,161,4.34782608695652,0,0,0,0,7,0,0
Census Regions,New England,1997,44,60,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,1997,44,224,3.57142857142857,0,0,8,0,0,0,0
Census Regions,East North Central,1997,44,211,0,0,0,0,0,0,0,0
Census Regions,West North Central,1997,44,246,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,1997,44,244,0,0,0,0,0,0,0,0
Census Regions,East South Central,1997,44,71,0,0,0,0,0,0,0,0
Census Regions,West South Central,1997,44,566,0,0,0,0,0,0,0,0
Census Regions,Mountain,1997,44,112,0,0,0,0,0,0,0,0
Census Regions,Pacific,1997,44,163,1.22699386503067,0,0,1,0,1,0,0
Census Regions,New England,1997,45,74,1.35135135135135,0,0,0,0,1,0,0
Census Regions,Mid-Atlantic,1997,45,244,0,0,0,0,0,0,0,0
Census Regions,East North Central,1997,45,210,0,0,0,0,0,0,0,0
Census Regions,West North Central,1997,45,280,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,1997,45,284,0.352112676056338,0,0,0,0,1,0,0
Census Regions,East South Central,1997,45,79,0,0,0,0,0,0,0,0
Census Regions,West South Central,1997,45,648,0.154320987654321,0,0,0,0,1,0,0
Census Regions,Mountain,1997,45,124,0.806451612903226,0,0,0,0,1,0,0
Census Regions,Pacific,1997,45,163,1.22699386503067,0,0,0,0,2,0,0
Census Regions,New England,1997,46,70,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,1997,46,244,0.819672131147541,0,0,0,0,1,1,0
Census Regions,East North Central,1997,46,259,0,0,0,0,0,0,0,0
Census Regions,West North Central,1997,46,291,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,1997,46,286,0.699300699300699,0,0,1,0,1,0,0
Census Regions,East South Central,1997,46,65,0,0,0,0,0,0,0,0
Census Regions,West South Central,1997,46,716,0.139664804469274,0,0,0,0,1,0,0
Census Regions,Mountain,1997,46,115,0,0,0,0,0,0,0,0
Census Regions,Pacific,1997,46,158,1.89873417721519,0,0,2,0,1,0,0
Census Regions,New England,1997,47,74,1.35135135135135,0,0,0,0,1,0,0
Census Regions,Mid-Atlantic,1997,47,258,0.775193798449612,0,0,2,0,0,0,0
Census Regions,East North Central,1997,47,244,2.04918032786885,0,0,2,0,3,0,0
Census Regions,West North Central,1997,47,342,0.584795321637427,0,0,1,0,1,0,0
Census Regions,South Atlantic,1997,47,291,1.71821305841924,0,0,0,0,5,0,0
Census Regions,East South Central,1997,47,107,0,0,0,0,0,0,0,0
Census Regions,West South Central,1997,47,902,0.332594235033259,0,0,0,0,3,0,0
Census Regions,Mountain,1997,47,108,0.925925925925926,0,0,0,0,1,0,0
Census Regions,Pacific,1997,47,207,1.93236714975845,0,0,0,0,3,1,0
Census Regions,New England,1997,48,57,5.26315789473684,0,0,0,0,3,0,0
Census Regions,Mid-Atlantic,1997,48,273,3.66300366300366,0,0,8,0,2,0,0
Census Regions,East North Central,1997,48,208,0.961538461538462,0,0,2,0,0,0,0
Census Regions,West North Central,1997,48,299,0.668896321070234,0,0,2,0,0,0,0
Census Regions,South Atlantic,1997,48,240,0.416666666666667,0,0,0,0,0,1,0
Census Regions,East South Central,1997,48,85,1.17647058823529,0,0,0,0,1,0,0
Census Regions,West South Central,1997,48,781,1.66453265044814,0,0,1,0,12,0,0
Census Regions,Mountain,1997,48,126,1.58730158730159,0,0,1,0,1,0,0
Census Regions,Pacific,1997,48,173,1.73410404624277,0,0,0,0,3,0,0
Census Regions,New England,1997,49,42,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,1997,49,298,2.01342281879195,0,0,2,0,4,0,0
Census Regions,East North Central,1997,49,302,4.63576158940397,0,0,2,0,12,0,0
Census Regions,West North Central,1997,49,316,0.949367088607595,0,0,2,0,1,0,0
Census Regions,South Atlantic,1997,49,263,1.14068441064639,0,0,0,0,2,1,0
